Protein IDs	CDC1551-1.count	CDC1551-1.rsq	CDC1551-1.kdp	CDC1551-1.halflife	CDC1551-1.count.z	CDC1551-1.rsq.z	CDC1551-1.kdp.z	CDC1551-1.halflife.z	CDC1551-2.count	CDC1551-2.rsq	CDC1551-2.kdp	CDC1551-2.halflife	CDC1551-2.count.z	CDC1551-2.rsq.z	CDC1551-2.kdp.z	CDC1551-2.halflife.z	dPPE38-1.count	dPPE38-1.rsq	dPPE38-1.kdp	dPPE38-1.halflife	dPPE38-1.count.z	dPPE38-1.rsq.z	dPPE38-1.kdp.z	dPPE38-1.halflife.z	dPPE38-2.count	dPPE38-2.rsq	dPPE38-2.kdp	dPPE38-2.halflife	dPPE38-2.count.z	dPPE38-2.rsq.z	dPPE38-2.kdp.z	dPPE38-2.halflife.z	Comp-1.count	Comp-1.rsq	Comp-1.kdp	Comp-1.halflife	Comp-1.count.z	Comp-1.rsq.z	Comp-1.kdp.z	Comp-1.halflife.z	Comp-2.count	Comp-2.rsq	Comp-2.kdp	Comp-2.halflife	Comp-2.count.z	Comp-2.rsq.z	Comp-2.kdp.z	Comp-2.halflife.z	Uninfected-1.count	Uninfected-1.rsq	Uninfected-1.kdp	Uninfected-1.halflife	Uninfected-1.count.z	Uninfected-1.rsq.z	Uninfected-1.kdp.z	Uninfected-1.halflife.z	Uninfected-2.count	Uninfected-2.rsq	Uninfected-2.kdp	Uninfected-2.halflife	Uninfected-2.count.z	Uninfected-2.rsq.z	Uninfected-2.kdp.z	Uninfected-2.halflife.z
sp|P15289|ARSA_HUMANArylsulfataseAOS=HomosapiensGN=ARSAPE=1SV=3;tr|A0A0C4DFZ2|A0A0C4DFZ2_HUMANArylsulfataseAOS=HomosapiensGN=ARSAPE=1SV=1	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	2	1	0.036945764	18.76120826	3	0.990158416	0.036945764	18.76120826	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN
sp|P15374|UCHL3_HUMANUbiquitincarboxyl-terminalhydrolaseisozymeL3OS=HomosapiensGN=UCHL3PE=1SV=1;tr|A0A087WTB8|A0A087WTB8_HUMANUbiquitincarboxyl-terminalhydrolaseOS=HomosapiensGN=UCHL3PE=1SV=1;tr|Q5TBK7|Q5TBK7_HUMANUbiquitincarboxyl-terminalhydrolaseisozymeL3(Fragment)OS=HomosapiensGN=UCHL3PE=1SV=1	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	1	NaN	0.012798257	54.1594971	2	1	0.012798257	54.1594971	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	1	NaN	0.021939936	31.5929447	2	1	0.021939936	31.5929447	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN
sp|P15498|VAV_HUMANProto-oncogenevavOS=HomosapiensGN=VAV1PE=1SV=4;tr|F5H5P4|F5H5P4_HUMANProto-oncogenevavOS=HomosapiensGN=VAV1PE=1SV=2;tr|Q96D37|Q96D37_HUMANProto-oncogenevavOS=HomosapiensGN=VAV1PE=1SV=2;tr|A0A0A0MR07|A0A0A0MR07_HUMANProto-oncogenevavOS=HomosapiensGN=VAV1PE=1SV=1	3	0.99718373	0.028529992	24.29538653	4	0.186192098	0.028529992	24.29538653	1	NaN	0.017307682	40.04852648	2	1	0.017307682	40.04852648	1	NaN	0.014090196	49.19357974	2	1	0.014090196	49.19357974	3	0.079832424	0.025703302	26.967243	4	0.321591763	0.025703302	26.967243	0	NaN	NaN	NaN	1	NaN	0	NaN	1	NaN	0.017269668	40.13668333	2	1	0.017269668	40.13668333	1	NaN	0.020501322	33.80987734	2	1	0.020501322	33.80987734	2	1	0.064248017	10.78861588	3	0.987379266	0.064248017	10.78861588
sp|P15531|NDKA_HUMANNucleosidediphosphatekinaseAOS=HomosapiensGN=NME1PE=1SV=1;tr|E5RHP0|E5RHP0_HUMANNucleosidediphosphatekinaseAOS=HomosapiensGN=NME1PE=3SV=1	0	NaN	NaN	NaN	1	NaN	0	NaN	1	NaN	0.010194215	67.9941704	2	1	0.010194215	67.9941704	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	1	NaN	0.006855359	101.1102664	2	1	0.006855359	101.1102664	0	NaN	NaN	NaN	1	NaN	0	NaN	1	NaN	0.007879891	87.96405157	2	1	0.007879891	87.96405157	0	NaN	NaN	NaN	1	NaN	0	NaN
sp|P15880|RS2_HUMAN40SribosomalproteinS2OS=HomosapiensGN=RPS2PE=1SV=2;tr|H0YEN5|H0YEN5_HUMAN40SribosomalproteinS2(Fragment)OS=HomosapiensGN=RPS2PE=1SV=1;tr|E9PQD7|E9PQD7_HUMAN40SribosomalproteinS2OS=HomosapiensGN=RPS2PE=1SV=1;tr|E9PMM9|E9PMM9_HUMAN40SribosomalproteinS2(Fragment)OS=HomosapiensGN=RPS2PE=1SV=1;tr|I3L404|I3L404_HUMAN40SribosomalproteinS2(Fragment)OS=HomosapiensGN=RPS2PE=1SV=1;tr|E9PM36|E9PM36_HUMAN40SribosomalproteinS2OS=HomosapiensGN=RPS2PE=1SV=1;tr|E9PPT0|E9PPT0_HUMAN40SribosomalproteinS2OS=HomosapiensGN=RPS2PE=1SV=1;tr|H3BNG3|H3BNG3_HUMAN40SribosomalproteinS2(Fragment)OS=HomosapiensGN=RPS2PE=1SV=1;tr|H0YE27|H0YE27_HUMAN40SribosomalproteinS2(Fragment)OS=HomosapiensGN=RPS2PE=1SV=1	5	0.993239116	0.010308447	67.24069883	6	0.9687523	0.010308447	67.24069883	5	0.984381277	0.009871876	70.21433301	6	0.976867901	0.009871876	70.21433301	5	0.995712861	0.009233582	75.06806806	6	0.981634736	0.009233582	75.06806806	5	0.982707927	0.009143454	75.80802226	6	0.981444299	0.009143454	75.80802226	5	0.015236636	0.009448246	73.36252231	6	0.2210142	0.009448246	73.36252231	4	0.967064596	0.009481251	73.10714635	5	0.965438228	0.009481251	73.10714635	5	0.967718986	0.008840684	78.40425068	6	0.960639204	0.008840684	78.40425068	5	0.745119713	0.008630965	80.30934765	6	0.824229692	0.008630965	80.30934765
sp|P15924|DESP_HUMANDesmoplakinOS=HomosapiensGN=DSPPE=1SV=3	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN
sp|P16150|LEUK_HUMANLeukosialinOS=HomosapiensGN=SPNPE=1SV=1;tr|C9JUK7|C9JUK7_HUMANLeukosialin(Fragment)OS=HomosapiensGN=SPNPE=1SV=1	3	0.987587283	0.016980336	40.82058107	4	0.99413054	0.016980336	40.82058107	2	1	0.016501462	42.00519694	3	0.999954823	0.016501462	42.00519694	2	1	0.03087137	22.45275102	3	0.990715276	0.03087137	22.45275102	3	0.980968599	0.025392025	27.2978295	4	0.989545273	0.025392025	27.2978295	1	NaN	0.022160758	31.27813541	2	1	0.022160758	31.27813541	2	1	0.028891984	23.99098597	3	0.973142334	0.028891984	23.99098597	2	1	0.029716048	23.32568533	3	0.984935151	0.029716048	23.32568533	3	0.76361754	0.026549535	26.10769554	4	0.917289388	0.026549535	26.10769554
sp|P16152|CBR1_HUMANCarbonylreductase[NADPH]1OS=HomosapiensGN=CBR1PE=1SV=3;tr|E9PQ63|E9PQ63_HUMANCarbonylreductase[NADPH]1OS=HomosapiensGN=CBR1PE=1SV=1;tr|A8MTM1|A8MTM1_HUMANCarbonylreductase[NADPH]1OS=HomosapiensGN=CBR1PE=1SV=1	4	0.99483137	0.015081712	45.95944951	5	0.988933992	0.015081712	45.95944951	3	0.933757654	0.014330888	48.36735773	4	0.950266612	0.014330888	48.36735773	4	0.182142443	0.015946282	43.46763544	5	0.549054418	0.015946282	43.46763544	4	0.985040532	0.011853881	58.47428098	5	0.992274641	0.011853881	58.47428098	3	0.999511946	0.014457522	47.94370544	4	0.995097628	0.014457522	47.94370544	5	0.034765175	0.014004198	49.4956704	6	0.231374407	0.014004198	49.4956704	3	0.918400916	0.014364168	48.25529592	4	0.959930048	0.014364168	48.25529592	4	0.191227201	0.015249481	45.45382198	5	0.582835491	0.015249481	45.45382198
sp|P16401|H15_HUMANHistoneH1.5OS=HomosapiensGN=HIST1H1BPE=1SV=3	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN
sp|P16402|H13_HUMANHistoneH1.3OS=HomosapiensGN=HIST1H1DPE=1SV=2;sp|P16403|H12_HUMANHistoneH1.2OS=HomosapiensGN=HIST1H1CPE=1SV=2;sp|P10412|H14_HUMANHistoneH1.4OS=HomosapiensGN=HIST1H1EPE=1SV=2;sp|Q02539|H11_HUMANHistoneH1.1OS=HomosapiensGN=HIST1H1APE=1SV=3;sp|P22492|H1T_HUMANHistoneH1tOS=HomosapiensGN=HIST1H1TPE=2SV=4	5	0.996398283	0.013787846	50.27233339	6	0.989840974	0.013787846	50.27233339	3	0.778292	0.01409002	49.19419371	4	0.869129306	0.01409002	49.19419371	3	0.630498014	0.013658356	50.74894834	4	0.821104083	0.013658356	50.74894834	3	0.857039574	0.013925658	49.77482605	4	0.929631104	0.013925658	49.77482605	2	1	0.012829121	54.02920269	3	0.965216844	0.012829121	54.02920269	0	NaN	NaN	NaN	1	NaN	0	NaN	4	0.976875715	0.013398329	51.73385379	5	0.979082527	0.013398329	51.73385379	3	0.66244032	0.013923024	49.78424127	4	0.818057279	0.013923024	49.78424127
sp|P16435|NCPR_HUMANNADPH--cytochromeP450reductaseOS=HomosapiensGN=PORPE=1SV=2;tr|H0Y4R2|H0Y4R2_HUMANNADPH--cytochromeP450reductase(Fragment)OS=HomosapiensGN=PORPE=1SV=1;tr|E7EMD0|E7EMD0_HUMANNADPH--cytochromeP450reductaseOS=HomosapiensGN=PORPE=1SV=1;tr|E7EWU0|E7EWU0_HUMANNADPH--cytochromeP450reductaseOS=HomosapiensGN=PORPE=1SV=1;tr|C9JU80|C9JU80_HUMANNADPH--cytochromeP450reductase(Fragment)OS=HomosapiensGN=PORPE=1SV=1	5	0.935225713	0.026239087	26.41658951	6	0.953659436	0.026239087	26.41658951	2	1	0.027350112	25.34348561	3	0.99420115	0.027350112	25.34348561	3	0.988408854	0.026226631	26.42913529	4	0.992527029	0.026226631	26.42913529	3	0.936713197	0.022338927	31.02866896	4	0.976937076	0.022338927	31.02866896	4	0.984817723	0.026177583	26.4786546	5	0.974576171	0.026177583	26.4786546	3	0.996463867	0.025525592	27.15498889	4	0.994963192	0.025525592	27.15498889	4	0.990575426	0.02589986	26.76258418	5	0.987842463	0.02589986	26.76258418	3	0.601282403	0.02351165	29.48100996	4	0.851760631	0.02351165	29.48100996
sp|P16615|AT2A2_HUMANSarcoplasmic/endoplasmicreticulumcalciumATPase2OS=HomosapiensGN=ATP2A2PE=1SV=1;tr|H7C5W9|H7C5W9_HUMANSarcoplasmic/endoplasmicreticulumcalciumATPase2(Fragment)OS=HomosapiensGN=ATP2A2PE=1SV=1;sp|O14983|AT2A1_HUMANSarcoplasmic/endoplasmicreticulumcalciumATPase1OS=HomosapiensGN=ATP2A1PE=1SV=1;sp|Q93084|AT2A3_HUMANSarcoplasmic/endoplasmicreticulumcalciumATPase3OS=HomosapiensGN=ATP2A3PE=1SV=2;tr|A0A0C4DH86|A0A0C4DH86_HUMANSarcoplasmic/endoplasmicreticulumcalciumATPase2(Fragment)OS=HomosapiensGN=ATP2A2PE=1SV=1;tr|H3BVB2|H3BVB2_HUMANSarcoplasmic/endoplasmicreticulumcalciumATPase1(Fragment)OS=HomosapiensGN=ATP2A1PE=4SV=8;tr|H3BTW4|H3BTW4_HUMANSarcoplasmic/endoplasmicreticulumcalciumATPase1(Fragment)OS=HomosapiensGN=ATP2A1PE=1SV=1	5	0.936244208	0.016168402	42.8704806	6	0.951128084	0.016168402	42.8704806	5	0.951421277	0.014572794	47.56446744	6	0.966494653	0.014572794	47.56446744	5	0.970578665	0.015339935	45.18579667	6	0.977653395	0.015339935	45.18579667	5	0.995382891	0.016193768	42.80332831	6	0.996468048	0.016193768	42.80332831	4	0.997639434	0.015248162	45.45775152	5	0.996226189	0.015248162	45.45775152	5	0.959431591	0.015211193	45.56823271	6	0.972137895	0.015211193	45.56823271	5	0.939535073	0.015641542	44.31450318	6	0.94887714	0.015641542	44.31450318	5	0.06690253	0.016819087	41.21193796	6	0.014399464	0.016819087	41.21193796
sp|P16885|PLCG2_HUMAN1-phosphatidylinositol4,5-bisphosphatephosphodiesterasegamma-2OS=HomosapiensGN=PLCG2PE=1SV=4;tr|A0A0A0MRF9|A0A0A0MRF9_HUMANPhosphoinositidephospholipaseCOS=HomosapiensGN=PLCG2PE=1SV=1	2	1	0.014848122	46.68248006	3	0.997540354	0.014848122	46.68248006	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	2	1	0.016598998	41.75837376	3	0.997175677	0.016598998	41.75837376	1	NaN	0.016161671	42.88833559	2	1	0.016161671	42.88833559	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	1	NaN	0.00939029	73.81531244	2	1	0.00939029	73.81531244
sp|P16930|FAAA_HUMANFumarylacetoacetaseOS=HomosapiensGN=FAHPE=1SV=2;tr|H0YLC7|H0YLC7_HUMANFumarylacetoacetase(Fragment)OS=HomosapiensGN=FAHPE=1SV=1	2	1	0.005968592	116.1324413	3	0.69596517	0.005968592	116.1324413	2	1	0.005907493	117.3335654	3	0.846567812	0.005907493	117.3335654	3	0.777335519	0.008434017	82.18470387	4	0.891453972	0.008434017	82.18470387	1	NaN	0.004972154	139.4058012	2	1	0.004972154	139.4058012	2	1	0.006066869	114.2512226	3	0.988991234	0.006066869	114.2512226	2	1	0.006310496	109.8403663	3	0.981535636	0.006310496	109.8403663	1	NaN	0.005518801	125.5974209	2	1	0.005518801	125.5974209	1	NaN	0.00611946	113.2693468	2	1	0.00611946	113.2693468
sp|P17050|NAGAB_HUMANAlpha-N-acetylgalactosaminidaseOS=HomosapiensGN=NAGAPE=1SV=2	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN
sp|P17066|HSP76_HUMANHeatshock70kDaprotein6OS=HomosapiensGN=HSPA6PE=1SV=2;sp|P48741|HSP77_HUMANPutativeheatshock70kDaprotein7OS=HomosapiensGN=HSPA7PE=5SV=2	1	NaN	0.03647638	19.00263098	2	1	0.03647638	19.00263098	1	NaN	0.020129054	34.43515997	2	1	0.020129054	34.43515997	1	NaN	0.01473177	47.05118192	2	1	0.01473177	47.05118192	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN
sp|P17096|HMGA1_HUMANHighmobilitygroupproteinHMG-I/HMG-YOS=HomosapiensGN=HMGA1PE=1SV=3	3	0.953283896	0.006230064	111.2584306	4	0.97674098	0.006230064	111.2584306	2	1	0.005691909	121.7776255	3	0.880766476	0.005691909	121.7776255	3	0.60772557	0.004317064	160.5598669	4	0.87227095	0.004317064	160.5598669	2	1	0.003955585	175.2325219	3	0.938272558	0.003955585	175.2325219	2	1	0.004408705	157.2224129	3	0.984644746	0.004408705	157.2224129	2	1	0.006803111	101.8868017	3	0.922464875	0.006803111	101.8868017	2	1	0.004449017	155.7978188	3	0.88025073	0.004449017	155.7978188	2	1	0.012851016	53.93714931	3	0.988946756	0.012851016	53.93714931
sp|P17174|AATC_HUMANAspartateaminotransferase,cytoplasmicOS=HomosapiensGN=GOT1PE=1SV=3	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN
sp|P17655|CAN2_HUMANCalpain-2catalyticsubunitOS=HomosapiensGN=CAPN2PE=1SV=6	2	1	0.008244433	84.07456997	3	0.964922005	0.008244433	84.07456997	2	1	0.007943665	87.25785837	3	0.85106755	0.007943665	87.25785837	2	1	0.00612355	113.1936914	3	0.99202551	0.00612355	113.1936914	2	1	0.00757125	91.54990607	3	0.993846602	0.00757125	91.54990607	3	0.299534332	0.005740894	120.7385506	4	0.536790078	0.005740894	120.7385506	1	NaN	0.007613138	91.04618059	2	1	0.007613138	91.04618059	2	1	0.006353086	109.1040073	3	0.94777346	0.006353086	109.1040073	2	1	0.009593475	72.25194248	3	0.482359693	0.009593475	72.25194248
sp|P17812|PYRG1_HUMANCTPsynthase1OS=HomosapiensGN=CTPS1PE=1SV=2	5	0.348099159	0.01293388	53.59158935	6	0.553441492	0.01293388	53.59158935	5	0.914210799	0.010951998	63.28956208	6	0.882893943	0.010951998	63.28956208	5	0.973560021	0.009913498	69.9195328	6	0.971583237	0.009913498	69.9195328	5	0.951992536	0.009747258	71.11202018	6	0.949952389	0.009747258	71.11202018	5	0.626770964	0.009707662	71.40207125	6	0.686205032	0.009707662	71.40207125	5	0.993791791	0.009662314	71.73718047	6	0.968410368	0.009662314	71.73718047	5	0.974872639	0.010067633	68.84907242	6	0.968620933	0.010067633	68.84907242	5	0.811908631	0.010100768	68.62321831	6	0.839752845	0.010100768	68.62321831
sp|P17813|EGLN_HUMANEndoglinOS=HomosapiensGN=ENGPE=1SV=2;tr|F5GX88|F5GX88_HUMANEndoglinOS=HomosapiensGN=ENGPE=1SV=1	1	NaN	0.160522675	4.318063976	2	1	0.160522675	4.318063976	1	NaN	0.132632062	5.22609068	2	1	0.132632062	5.22609068	4	0.045046204	0.047414544	14.61887259	5	0.147643909	0.047414544	14.61887259	1	NaN	0.219875565	3.152452078	2	1	0.219875565	3.152452078	3	0.079208299	0.054780916	12.65307759	4	0.391963837	0.054780916	12.65307759	3	0.883697408	0.133588123	5.188688657	4	0.923411991	0.133588123	5.188688657	2	1	0.11112643	6.23746465	3	0.973601729	0.11112643	6.23746465	1	NaN	0.060526653	11.45193316	2	1	0.060526653	11.45193316
sp|P17858|PFKAL_HUMANATP-dependent6-phosphofructokinase,livertypeOS=HomosapiensGN=PFKLPE=1SV=6	4	0.670700829	0.01343734	51.58366096	5	0.789472997	0.01343734	51.58366096	2	1	0.012229918	56.6763563	3	0.990368051	0.012229918	56.6763563	3	0.999988498	0.012614711	54.94752549	4	0.998963874	0.012614711	54.94752549	2	1	0.013087015	52.9644962	3	0.999639703	0.013087015	52.9644962	3	0.991017833	0.01199658	57.77873431	4	0.989590045	0.01199658	57.77873431	3	0.987655842	0.011611505	59.69485952	4	0.980780637	0.011611505	59.69485952	2	1	0.015019315	46.15038626	3	0.89510374	0.015019315	46.15038626	3	0.796899998	0.01196126	57.94934297	4	0.862071551	0.01196126	57.94934297
sp|P17900|SAP3_HUMANGangliosideGM2activatorOS=HomosapiensGN=GM2APE=1SV=4	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN	0	NaN	NaN	NaN	1	NaN	0	NaN
sp|P17931|LEG3_HUMANGalectin-3OS=HomosapiensGN=LGALS3PE=1SV=5;tr|G3V3R6|G3V3R6_HUMANGalectinOS=HomosapiensGN=LGALS3PE=1SV=1	5	0.957366302	0.025672603	26.99948972	6	0.967006278	0.025672603	26.99948972	5	0.987902229	0.028483569	24.33498347	6	0.988374715	0.028483569	24.33498347	5	0.995598882	0.024504172	28.28690447	6	0.99038651	0.024504172	28.28690447	5	0.989054923	0.02474924	28.00680672	6	0.99082174	0.02474924	28.00680672	5	0.978076154	0.025102402	27.61278327	6	0.982880485	0.025102402	27.61278327	5	0.978149735	0.02688161	25.78518124	6	0.984910528	0.02688161	25.78518124	5	0.993202583	0.025440591	27.24571867	6	0.993521716	0.025440591	27.24571867	5	0.761869483	0.025130618	27.58178009	6	0.837299251	0.025130618	27.58178009
sp|P17987|TCPA_HUMANT-complexprotein1subunitalphaOS=HomosapiensGN=TCP1PE=1SV=1;tr|E7ERF2|E7ERF2_HUMANT-complexprotein1subunitalphaOS=HomosapiensGN=TCP1PE=1SV=1;tr|E7EQR6|E7EQR6_HUMANT-complexprotein1subunitalphaOS=HomosapiensGN=TCP1PE=1SV=1;tr|F5H282|F5H282_HUMANT-complexprotein1subunitalphaOS=HomosapiensGN=TCP1PE=1SV=1;tr|F5GZ03|F5GZ03_HUMANT-complexprotein1subunitalpha(Fragment)OS=HomosapiensGN=TCP1PE=1SV=1;tr|F5H136|F5H136_HUMANT-complexprotein1subunitalpha(Fragment)OS=HomosapiensGN=TCP1PE=1SV=1;tr|F5GZI8|F5GZI8_HUMANT-complexprotein1subunitalphaOS=HomosapiensGN=TCP1PE=1SV=1;tr|F5H676|F5H676_HUMANT-complexprotein1subunitalpha(Fragment)OS=HomosapiensGN=TCP1PE=1SV=1;tr|F5H726|F5H726_HUMANT-complexprotein1subunitalpha(Fragment)OS=HomosapiensGN=TCP1PE=1SV=1;tr|F5H7Y1|F5H7Y1_HUMANT-complexprotein1subunitalpha(Fragment)OS=HomosapiensGN=TCP1PE=1SV=1;tr|F5GYL4|F5GYL4_HUMANT-complexprotein1subunitalphaOS=HomosapiensGN=TCP1PE=1SV=1	5	0.998997588	0.013358876	51.88663792	6	0.999067017	0.013358876	51.88663792	5	0.992380038	0.012235847	56.64889397	6	0.988265925	0.012235847	56.64889397	5	0.989687925	0.011785982	58.81115251	6	0.985348586	0.011785982	58.81115251	5	0.96156612	0.012008233	57.72266079	6	0.959673823	0.012008233	57.72266079	5	0.99194376	0.011723768	59.12324216	6	0.988961033	0.011723768	59.12324216	5	0.995356224	0.011856692	58.46042035	6	0.993990014	0.011856692	58.46042035	5	0.994047761	0.011756307	58.95960271	6	0.989887635	0.011756307	58.95960271	5	0.83837417	0.011709696	59.19429253	6	0.885405741	0.011709696	59.19429253
sp|P18031|PTN1_HUMANTyrosine-proteinphosphatasenon-receptortype1OS=HomosapiensGN=PTPN1PE=1SV=1;tr|B4DSN5|B4DSN5_HUMANTyrosine-proteinphosphatasenon-receptortypeOS=HomosapiensGN=PTPN1PE=1SV=1	1	NaN	0.036154922	19.17158535	2	1	0.036154922	19.17158535	1	NaN	0.031163775	22.24208022	2	1	0.031163775	22.24208022	3	0.99520731	0.018721456	37.02421323	4	0.984374106	0.018721456	37.02421323	1	NaN	0.015525008	44.64713742	2	1	0.015525008	44.64713742	2	1	0.017406287	39.82165635	3	0.986553725	0.017406287	39.82165635	0	NaN	NaN	NaN	1	NaN	0	NaN	2	1	0.013343354	51.94699683	3	0.960258651	0.013343354	51.94699683	1	NaN	0.018071572	38.35566586	2	1	0.018071572	38.35566586
sp|P18077|RL35A_HUMAN60SribosomalproteinL35aOS=HomosapiensGN=RPL35APE=1SV=2;tr|F8WBS5|F8WBS5_HUMAN60SribosomalproteinL35aOS=HomosapiensGN=RPL35APE=1SV=1;tr|F8WB72|F8WB72_HUMAN60SribosomalproteinL35aOS=HomosapiensGN=RPL35APE=1SV=1;tr|C9K025|C9K025_HUMAN60SribosomalproteinL35a(Fragment)OS=HomosapiensGN=RPL35APE=1SV=1	3	0.746691076	0.023642488	29.31786171	4	0.014997634	0.023642488	29.31786171	2	1	0.012579529	55.10120142	3	0.471376119	0.012579529	55.10120142	2	1	0.016628081	41.68533868	3	0.003741356	0.016628081	41.68533868	1	NaN	0.009350367	74.13048172	2	1	0.009350367	74.13048172	2	1	0.013695686	50.61062069	3	0.720995051	0.013695686	50.61062069	2	1	0.015004539	46.19583303	3	0.439894432	0.015004539	46.19583303	1	NaN	0.01076191	64.40745287	2	1	0.01076191	64.40745287	2	1	0.014167122	48.92646466	3	0.573398039	0.014167122	48.92646466
sp|P18084|ITB5_HUMANIntegrinbeta-5OS=HomosapiensGN=ITGB5PE=1SV=1;tr|V9GZ57|V9GZ57_HUMANIntegrinbeta(Fragment)OS=HomosapiensGN=ITGB5PE=1SV=8;tr|V9GYZ1|V9GYZ1_HUMANIntegrinbeta(Fragment)OS=HomosapiensGN=ITGB5PE=1SV=1;tr|H7C4W1|H7C4W1_HUMANIntegrinbeta(Fragment)OS=HomosapiensGN=ITGB5PE=1SV=1;tr|H7C580|H7C580_HUMANIntegrinbeta(Fragment)OS=HomosapiensGN=ITGB5PE=1SV=2;tr|H7C5U2|H7C5U2_HUMANIntegrinbeta(Fragment)OS=HomosapiensGN=ITGB5PE=1SV=1	4	0.744852957	0.029634179	23.39012599	5	0.845615344	0.029634179	23.39012599	5	0.827979344	0.03627977	19.1056114	6	0.874020385	0.03627977	19.1056114	3	0.997450913	0.03844243	18.03078454	4	0.998840309	0.03844243	18.03078454	3	0.959422123	0.033513684	20.68251218	4	0.969357072	0.033513684	20.68251218	5	0.939624087	0.037586471	18.44140067	6	0.946464838	0.037586471	18.44140067	5	0.969630844	0.037008071	18.72962178	6	0.977970252	0.037008071	18.72962178	3	0.726296999	0.031307649	22.13986704	4	0.910126557	0.031307649	22.13986704	3	0.779595815	0.046087148	15.03992352	4	0.873179444	0.046087148	15.03992352
